NOTICE:  Erro ao finalizar carrinho 626: Produto 417 sem estoque suficiente (solicitado 2, disponível 1)
NOTICE:  Erro ao finalizar carrinho 2000: Produto 237 sem estoque suficiente (solicitado 8, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1792: Produto 13 sem estoque suficiente (solicitado 6, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3922: Produto 237 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2656: Produto 415 sem estoque suficiente (solicitado 6, disponível 2)
NOTICE:  Erro ao finalizar carrinho 2334: Produto 514 sem estoque suficiente (solicitado 9, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2978: Produto 356 sem estoque suficiente (solicitado 8, disponível 2)
NOTICE:  Erro ao finalizar carrinho 572: Produto 415 sem estoque suficiente (solicitado 10, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1624: Produto 415 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2383: Produto 13 sem estoque suficiente (solicitado 10, disponível 2)
NOTICE:  Erro ao finalizar carrinho 1365: Produto 237 sem estoque suficiente (solicitado 5, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1181: Produto 361 sem estoque suficiente (solicitado 8, disponível 0)
NOTICE:  Erro ao finalizar carrinho 255: Produto 417 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1608: Produto 356 sem estoque suficiente (solicitado 8, disponível 2)
NOTICE:  Erro ao finalizar carrinho 657: Produto 13 sem estoque suficiente (solicitado 7, disponível 2)
NOTICE:  Erro ao finalizar carrinho 1735: Produto 92 sem estoque suficiente (solicitado 9, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3070: Produto 237 sem estoque suficiente (solicitado 3, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2079: Produto 514 sem estoque suficiente (solicitado 7, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3094: Produto 511 sem estoque suficiente (solicitado 10, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3493: Produto 92 sem estoque suficiente (solicitado 9, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3649: Produto 410 sem estoque suficiente (solicitado 9, disponível 7)
NOTICE:  Erro ao finalizar carrinho 2272: Produto 92 sem estoque suficiente (solicitado 3, disponível 2)
NOTICE:  Erro ao finalizar carrinho 856: Produto 417 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 450: Produto 92 sem estoque suficiente (solicitado 9, disponível 2)
NOTICE:  Erro ao finalizar carrinho 2605: Produto 401 sem estoque suficiente (solicitado 7, disponível 2)
NOTICE:  Erro ao finalizar carrinho 2931: Produto 361 sem estoque suficiente (solicitado 9, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1786: Produto 401 sem estoque suficiente (solicitado 7, disponível 2)
NOTICE:  Erro ao finalizar carrinho 498: Produto 237 sem estoque suficiente (solicitado 7, disponível 0)
NOTICE:  Erro ao finalizar carrinho 494: Produto 415 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3876: Produto 125 sem estoque suficiente (solicitado 10, disponível 4)
NOTICE:  Erro ao finalizar carrinho 513: Produto 417 sem estoque suficiente (solicitado 3, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1590: Produto 439 sem estoque suficiente (solicitado 5, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1122: Produto 417 sem estoque suficiente (solicitado 8, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1423: Produto 215 sem estoque suficiente (solicitado 5, disponível 3)
NOTICE:  Erro ao finalizar carrinho 3411: Produto 439 sem estoque suficiente (solicitado 1, disponível 0)
NOTICE:  Erro ao finalizar carrinho 10: Produto 361 sem estoque suficiente (solicitado 10, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2648: Produto 237 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1394: Produto 13 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2957: Produto 361 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3186: Produto 404 sem estoque suficiente (solicitado 8, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1745: Produto 237 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2455: Produto 215 sem estoque suficiente (solicitado 9, disponível 3)
NOTICE:  Erro ao finalizar carrinho 529: Produto 514 sem estoque suficiente (solicitado 9, disponível 0)
NOTICE:  Erro ao finalizar carrinho 991: Produto 514 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1396: Produto 439 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 742: Produto 215 sem estoque suficiente (solicitado 4, disponível 3)
NOTICE:  Erro ao finalizar carrinho 2809: Produto 417 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 538: Produto 511 sem estoque suficiente (solicitado 8, disponível 1)
NOTICE:  Erro ao finalizar carrinho 3771: Produto 125 sem estoque suficiente (solicitado 5, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1671: Produto 417 sem estoque suficiente (solicitado 1, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3568: Produto 215 sem estoque suficiente (solicitado 5, disponível 3)
NOTICE:  Erro ao finalizar carrinho 3063: Produto 237 sem estoque suficiente (solicitado 7, disponível 0)
NOTICE:  Erro ao finalizar carrinho 999: Produto 92 sem estoque suficiente (solicitado 9, disponível 2)
NOTICE:  Erro ao finalizar carrinho 2447: Produto 13 sem estoque suficiente (solicitado 1, disponível 0)
NOTICE:  Erro ao finalizar carrinho 999: Produto 92 sem estoque suficiente (solicitado 9, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3735: Produto 511 sem estoque suficiente (solicitado 10, disponível 1)
NOTICE:  Erro ao finalizar carrinho 251: Produto 215 sem estoque suficiente (solicitado 6, disponível 3)
NOTICE:  Erro ao finalizar carrinho 866: Produto 441 sem estoque suficiente (solicitado 2, disponível 1)
NOTICE:  Erro ao finalizar carrinho 2379: Produto 401 sem estoque suficiente (solicitado 8, disponível 1)
NOTICE:  Erro ao finalizar carrinho 3810: Produto 439 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3057: Produto 417 sem estoque suficiente (solicitado 1, disponível 0)
NOTICE:  Erro ao finalizar carrinho 816: Produto 439 sem estoque suficiente (solicitado 7, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1842: Produto 401 sem estoque suficiente (solicitado 4, disponível 1)
NOTICE:  Erro ao finalizar carrinho 2568: Produto 361 sem estoque suficiente (solicitado 10, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1452: Produto 356 sem estoque suficiente (solicitado 9, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3624: Produto 404 sem estoque suficiente (solicitado 8, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3710: Produto 92 sem estoque suficiente (solicitado 3, disponível 2)
NOTICE:  Erro ao finalizar carrinho 622: Produto 511 sem estoque suficiente (solicitado 9, disponível 1)
NOTICE:  Erro ao finalizar carrinho 3962: Produto 335 sem estoque suficiente (solicitado 9, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3945: Produto 335 sem estoque suficiente (solicitado 5, disponível 2)
NOTICE:  Erro ao finalizar carrinho 2447: Produto 13 sem estoque suficiente (solicitado 1, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3697: Produto 237 sem estoque suficiente (solicitado 10, disponível 0)
NOTICE:  Erro ao finalizar carrinho 934: Produto 125 sem estoque suficiente (solicitado 7, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1004: Produto 13 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 983: Produto 404 sem estoque suficiente (solicitado 3, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1829: Produto 401 sem estoque suficiente (solicitado 10, disponível 1)
NOTICE:  Erro ao finalizar carrinho 1283: Produto 92 sem estoque suficiente (solicitado 10, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3754: Produto 401 sem estoque suficiente (solicitado 7, disponível 1)
NOTICE:  Erro ao finalizar carrinho 3186: Produto 404 sem estoque suficiente (solicitado 8, disponível 0)
NOTICE:  Erro ao finalizar carrinho 89: Produto 92 sem estoque suficiente (solicitado 5, disponível 2)
NOTICE:  Erro ao finalizar carrinho 944: Produto 410 sem estoque suficiente (solicitado 3, disponível 2)
NOTICE:  Erro ao finalizar carrinho 2437: Produto 417 sem estoque suficiente (solicitado 8, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3411: Produto 439 sem estoque suficiente (solicitado 1, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1457: Produto 439 sem estoque suficiente (solicitado 10, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2630: Produto 511 sem estoque suficiente (solicitado 5, disponível 1)
NOTICE:  Erro ao finalizar carrinho 3870: Produto 215 sem estoque suficiente (solicitado 8, disponível 3)
NOTICE:  Erro ao finalizar carrinho 2915: Produto 356 sem estoque suficiente (solicitado 10, disponível 2)
NOTICE:  Erro ao finalizar carrinho 2645: Produto 514 sem estoque suficiente (solicitado 7, disponível 0)
NOTICE:  Erro ao finalizar carrinho 383: Produto 417 sem estoque suficiente (solicitado 8, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3360: Produto 439 sem estoque suficiente (solicitado 10, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3442: Produto 215 sem estoque suficiente (solicitado 9, disponível 3)
NOTICE:  Erro ao finalizar carrinho 2809: Produto 417 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2937: Produto 410 sem estoque suficiente (solicitado 7, disponível 2)
NOTICE:  Erro ao finalizar carrinho 1004: Produto 13 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2332: Produto 146 sem estoque suficiente (solicitado 6, disponível 3)
NOTICE:  Erro ao finalizar carrinho 2026: Produto 417 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2964: Produto 125 sem estoque suficiente (solicitado 3, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2161: Produto 410 sem estoque suficiente (solicitado 3, disponível 2)
NOTICE:  Erro ao finalizar carrinho 2611: Produto 237 sem estoque suficiente (solicitado 3, disponível 0)
NOTICE:  Erro ao finalizar carrinho 117: Produto 419 sem estoque suficiente (solicitado 4, disponível 2)
NOTICE:  Erro ao finalizar carrinho 2876: Produto 404 sem estoque suficiente (solicitado 5, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1131: Produto 13 sem estoque suficiente (solicitado 3, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1342: Produto 92 sem estoque suficiente (solicitado 5, disponível 2)
NOTICE:  Erro ao finalizar carrinho 244: Produto 511 sem estoque suficiente (solicitado 6, disponível 1)
NOTICE:  Erro ao finalizar carrinho 1993: Produto 356 sem estoque suficiente (solicitado 4, disponível 2)
NOTICE:  Erro ao finalizar carrinho 2039: Produto 404 sem estoque suficiente (solicitado 8, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3381: Produto 356 sem estoque suficiente (solicitado 3, disponível 2)
NOTICE:  Erro ao finalizar carrinho 1466: Produto 514 sem estoque suficiente (solicitado 7, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2523: Produto 439 sem estoque suficiente (solicitado 1, disponível 0)
NOTICE:  Erro ao finalizar carrinho 322: Produto 13 sem estoque suficiente (solicitado 3, disponível 0)
NOTICE:  Erro ao finalizar carrinho 473: Produto 514 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1159: Produto 125 sem estoque suficiente (solicitado 10, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1705: Produto 514 sem estoque suficiente (solicitado 1, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3047: Produto 237 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2291: Produto 361 sem estoque suficiente (solicitado 10, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1855: Produto 417 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3377: Produto 439 sem estoque suficiente (solicitado 2, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2005: Produto 439 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3662: Produto 92 sem estoque suficiente (solicitado 8, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3595: Produto 215 sem estoque suficiente (solicitado 9, disponível 3)
NOTICE:  Erro ao finalizar carrinho 1017: Produto 356 sem estoque suficiente (solicitado 7, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3590: Produto 146 sem estoque suficiente (solicitado 10, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1575: Produto 419 sem estoque suficiente (solicitado 9, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3159: Produto 125 sem estoque suficiente (solicitado 8, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1767: Produto 514 sem estoque suficiente (solicitado 3, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2305: Produto 13 sem estoque suficiente (solicitado 5, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1373: Produto 356 sem estoque suficiente (solicitado 4, disponível 2)
NOTICE:  Erro ao finalizar carrinho 420: Produto 356 sem estoque suficiente (solicitado 8, disponível 2)
NOTICE:  Erro ao finalizar carrinho 1856: Produto 410 sem estoque suficiente (solicitado 6, disponível 2)
NOTICE:  Erro ao finalizar carrinho 935: Produto 404 sem estoque suficiente (solicitado 1, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2111: Produto 404 sem estoque suficiente (solicitado 9, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3274: Produto 441 sem estoque suficiente (solicitado 7, disponível 1)
NOTICE:  Erro ao finalizar carrinho 1937: Produto 125 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 978: Produto 215 sem estoque suficiente (solicitado 2, disponível 1)
NOTICE:  Erro ao finalizar carrinho 1413: Produto 13 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3429: Produto 13 sem estoque suficiente (solicitado 2, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2176: Produto 410 sem estoque suficiente (solicitado 4, disponível 2)
NOTICE:  Erro ao finalizar carrinho 1879: Produto 237 sem estoque suficiente (solicitado 3, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3838: Produto 417 sem estoque suficiente (solicitado 5, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1656: Produto 92 sem estoque suficiente (solicitado 3, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3991: Produto 404 sem estoque suficiente (solicitado 10, disponível 0)
NOTICE:  Erro ao finalizar carrinho 805: Produto 439 sem estoque suficiente (solicitado 1, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1362: Produto 237 sem estoque suficiente (solicitado 9, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1356: Produto 215 sem estoque suficiente (solicitado 3, disponível 1)
NOTICE:  Erro ao finalizar carrinho 1431: Produto 335 sem estoque suficiente (solicitado 5, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2968: Produto 564 sem estoque suficiente (solicitado 8, disponível 1)
NOTICE:  Erro ao finalizar carrinho 2823: Produto 356 sem estoque suficiente (solicitado 9, disponível 2)
NOTICE:  Erro ao finalizar carrinho 2361: Produto 410 sem estoque suficiente (solicitado 10, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3101: Produto 415 sem estoque suficiente (solicitado 7, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1254: Produto 335 sem estoque suficiente (solicitado 7, disponível 0)
NOTICE:  Erro ao finalizar carrinho 846: Produto 401 sem estoque suficiente (solicitado 2, disponível 1)
NOTICE:  Erro ao finalizar carrinho 1806: Produto 361 sem estoque suficiente (solicitado 8, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2150: Produto 511 sem estoque suficiente (solicitado 8, disponível 1)
NOTICE:  Erro ao finalizar carrinho 3154: Produto 148 sem estoque suficiente (solicitado 10, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3393: Produto 441 sem estoque suficiente (solicitado 10, disponível 1)
NOTICE:  Erro ao finalizar carrinho 3729: Produto 146 sem estoque suficiente (solicitado 3, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1847: Produto 237 sem estoque suficiente (solicitado 9, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3846: Produto 13 sem estoque suficiente (solicitado 1, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3002: Produto 439 sem estoque suficiente (solicitado 10, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1855: Produto 417 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3993: Produto 146 sem estoque suficiente (solicitado 9, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3351: Produto 125 sem estoque suficiente (solicitado 9, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1560: Produto 564 sem estoque suficiente (solicitado 5, disponível 1)
NOTICE:  Erro ao finalizar carrinho 2150: Produto 511 sem estoque suficiente (solicitado 8, disponível 1)
NOTICE:  Erro ao finalizar carrinho 2832: Produto 361 sem estoque suficiente (solicitado 9, disponível 0)
NOTICE:  Erro ao finalizar carrinho 912: Produto 237 sem estoque suficiente (solicitado 3, disponível 0)
NOTICE:  Erro ao finalizar carrinho 857: Produto 215 sem estoque suficiente (solicitado 10, disponível 1)
NOTICE:  Erro ao finalizar carrinho 3091: Produto 401 sem estoque suficiente (solicitado 3, disponível 1)
NOTICE:  Erro ao finalizar carrinho 7: Produto 237 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 908: Produto 417 sem estoque suficiente (solicitado 7, disponível 0)
NOTICE:  Erro ao finalizar carrinho 529: Produto 514 sem estoque suficiente (solicitado 9, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2548: Produto 215 sem estoque suficiente (solicitado 10, disponível 1)
NOTICE:  Erro ao finalizar carrinho 573: Produto 125 sem estoque suficiente (solicitado 5, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3050: Produto 514 sem estoque suficiente (solicitado 2, disponível 0)
NOTICE:  Erro ao finalizar carrinho 756: Produto 237 sem estoque suficiente (solicitado 5, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2090: Produto 404 sem estoque suficiente (solicitado 3, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2674: Produto 335 sem estoque suficiente (solicitado 5, disponível 0)
